round,accuracy,loss
0,0.0774,2.321722715715819
1,0.441,1.7001488269129885
2,0.4985,1.3695754235303854
3,0.5909,1.4885749484919295
4,0.6503,0.9150344533256337
5,0.7211,0.772199504360368
6,0.7425,0.6856118448172943
7,0.588,1.1027829337723647
8,0.6343,1.1269350829003733
9,0.7249,0.7673663402659984
10,0.7462,0.6757061553152302
