round,accuracy,loss
0,0.1516,2.3524775655963754
1,0.3323,1.9829732285270207
2,0.454,1.8951503219483774
3,0.5616,1.1860124974311153
4,0.5968,1.1864786940284922
5,0.6727,0.7996567827236803
6,0.679,0.8928058585034141
7,0.6228,1.1270801040190686
8,0.6832,0.8635399666013597
9,0.6058,1.0680428577374808
10,0.6199,1.1285264597663396
