round,accuracy,loss
0,0.1,2.3060184460652025
1,0.5235,1.4718221305291863
2,0.7657,0.7604484754272655
3,0.6203,0.9757420186755024
4,0.674,1.4915087811554535
5,0.6807,0.8321858154067511
6,0.7996,0.5350841536552091
7,0.7457,0.9010572840895834
8,0.8138,0.4681260234947446
9,0.7708,0.6918032682394679
10,0.8271,0.4504917893983141
