round,accuracy,loss
0,0.1,2.3020546738105483
1,0.5508,1.4354514834247059
2,0.305,2.041715335242356
3,0.3843,3.1749500111688542
4,0.385,1.7105944745148285
5,0.1082,4.272769580913495
6,0.4698,2.229496675201609
7,0.6519,1.4875680245930636
8,0.5572,1.5472566130795056
9,0.5811,1.1689509930489939
10,0.5406,2.0700892074198665
